YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
5,1,0,1,1,0,0,1,1,4,1,0,5,1,1,1,4,3,7,0,2,0,0,1,3,2,2,4,1,2,0,0,0,1,0,0,0,3,0,0,3,1,1,0,0,0,0,0,0,4,4,0,0,1,0,1,1,4,7,1,28,0,92500,0,596,596,596,2818,0.59
1,3,6,4,1,0,1,1,9,3,1,0,10,1,1,1,3,5,7,0,8,13,3,3,3,2,4,8,6,2,1,1,10,1,0,0,1,6,0,0,0,0,0,3,2,0,0,10.5,1,12,3,1,0,0,0,1,1,1,2,8,17.375,0,67500,0,2636,1690,1127,11823,0.5
4,2,6,3,3,1,0,0,9,3,1,0,7,1,1,1,4,3,12,1,5,3,2,3,3,2,2,4,2,2,1,0,2,1,1,0,1,6,1,0,6,1,1,3,1,0,0,86,1,12,4,1,0,1,0,1,0,1,5,3,43,0,92500,0,3578,2512,2512,13974,0.58
5,4,7,5,4,1,1,0,3,3,0,1,5,0,0,2,3,4,7,0,5,7,3,2,3,1,1,2,3,2,2,2,6,1,0,0,1,9,0,0,9,1,1,3,1,1,1,0,1,22,4,1,0,0,0,0,1,4,5,4,39.75,0,130000,0,4601,3951,3951,9199,0.46
2,3,5,3,1,0,1,1,6,1,0,1,5,1,0,1,4,3,7,0,0,3,2,3,2,1,2,8,0,0,0,0,2,0,0,0,1,6,0,0,6,2,0,1,1,0,0,0,0,12,4,1,0,0,0,1,1,6,5,1,27,0,87500,0,1656,1104,1104,10333,0.6
5,5,5,4,2,1,1,1,6,3,1,0,7,1,1,1,5,5,2,0,5,7,3,3,3,2,4,8,4,2,2,1,2,1,0,1,1,10,1,0,9,1,1,2,2,1,0,44.5,1,18,4,1,0,0,0,1,1,4,6,5,25.4,0,130000,0,4352,3012,2072,15635,0.51
4,1,0,2,1,0,0,0,6,3,0,0,7,0,1,1,4,4,12,0,5,0,0,2,2,3,4,4,1,10,0,0,0,1,0,0,0,4,0,0,0,0,0,1,2,0,0,39,1,12,4,1,0,0,0,0,1,1,3,2,39.5,0,47500,0,983,983,492,3970,0.55
2,3,6,3,1,1,0,0,6,2,0,0,7,0,1,2,4,3,3,1,0,3,3,4,3,4,4,4,2,2,2,0,2,0,0,1,1,6,1,0,6,2,1,1,1,1,0,13,0,12,3,1,0,0,0,0,1,1,3,2,28,0,57500,0,1976,1976,1976,5614,0.58
2,3,5,2,1,0,1,0,3,4,0,1,10,0,0,1,4,3,3,1,5,7,3,3,1,1,8,8,1,8,0,0,2,1,0,0,1,7,1,0,6,3,1,4,3,0,0,50.5,0,4,3,1,0,1,0,0,0,1,2,2,46.5,0,72500,0,2226,1976,1838,14664,0.52
2,1,5,3,1,0,0,1,9,1,0,0,7,1,1,1,4,3,3,0,0,3,3,2,2,1,4,4,2,10,10,0,0,1,0,0,1,4,0,0,4,2,1,2,3,1,0,40,0,7,2,1,0,0,0,1,0,1,2,2,45.5,0,52500,0,861,689,689,7452,0.66
4,1,0,1,1,0,0,1,1,1,0,0,5,1,1,1,4,3,7,0,0,0,0,2,3,2,4,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,1,0,2,1,1,67,1,22500,0,358,358,119,2579,0.5
4,7,0,1,1,0,0,1,1,2,0,1,5,1,0,1,4,3,2,0,0,0,0,1,2,1,4,4,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,8,0,2,4,1,0,1,0,1,0,1,2,1,62,0,17500,0,700,700,467,5049,0.49
6,4,2,2,2,0,1,1,9,3,1,1,7,1,1,1,3,3,12,0,3,3,3,1,3,2,8,12,1,5,0,0,2,1,0,0,0,4,0,1,4,3,1,4,3,1,0,2.5,1,7,4,0,0,1,1,1,1,1,5,2,44,0,62500,0,1600,1200,1200,18471,0.4
8,4,8,3,2,0,1,0,1,4,0,0,7,0,0,3,3,5,3,0,0,3,3,3,3,4,4,2,1,1,0,0,10,1,0,0,0,4,0,0,0,0,0,3,1,0,0,5,0,12,4,1,0,1,0,0,0,1,4,1,64,1,22500,0,2521,1461,0,4261,0.53
