YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
4,1,5,3,2,0,0,1,6,3,1,1,18,1,1,2,5,2,3,0,3,7,3,3,2,2,12,12,1,2,0,0,1,0,0,1,2,5,0,1,5,3,1,4,3,1,0,63.5,0,22,3,1,0,0,1,1,0,1,3,2,65.5,1,42500,0,2652,2652,2652,11579,0.46
4,2,5,3,2,0,0,1,9,2,0,0,7,1,1,2,4,3,12,0,5,3,3,1,1,1,4,4,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,2,1,1,0,5,0,18,3,0,0,1,1,1,2,1,3,1,59,0,32500,0,2816,2112,176,25713,0.6
1,2,5,3,1,0,0,0,9,2,0,1,3,0,1,2,3,3,12,1,0,3,3,1,2,1,2,2,2,2,1,0,1,1,0,0,2,5,0,0,0,0,0,0,0,1,0,46,1,12,4,0,0,0,0,0,1,1,2,3,42.33333333,0,92500,0,992,992,0,13875,0.52
6,4,1,3,2,0,1,0,6,2,1,1,5,0,1,1,1,4,7,0,2,3,3,3,2,2,4,4,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,2,1,0,0,13,1,12,3,1,0,0,0,1,0,1,5,2,80.5,1,52500,0,2073,1673,0,3804,0.49
4,2,5,4,3,0,1,0,6,3,1,0,7,0,1,2,5,4,7,0,3,3,3,4,2,2,4,4,2,10,10,0,1,0,0,1,10,8,0,0,8,1,1,1,2,0,0,41,0,22,2,1,0,1,0,1,1,1,6,2,60.5,0,130000,0,2420,2020,2020,11269,0.52
6,3,5,4,3,0,1,1,1,2,0,0,7,1,1,1,4,3,12,0,1,7,2,4,2,2,2,4,3,2,2,1,1,0,0,1,2,8,0,0,8,1,1,0,0,1,0,13,0,12,4,1,0,0,0,1,1,1,8,2,64,0,130000,0,5185,3435,3435,3850,0.61
2,1,5,3,2,0,1,1,6,4,1,0,10,1,1,2,1,4,7,1,5,7,3,2,2,1,4,4,3,2,2,1,1,0,0,1,10,9,0,0,9,2,1,6,2,1,0,64,1,18,3,1,0,0,0,1,1,1,5,3,22.66666667,0,110000,0,3038,1424,1424,12355,0.53
3,3,5,3,2,0,0,1,9,2,1,1,7,1,1,1,4,3,7,0,5,13,3,5,3,2,4,12,2,8,2,0,1,1,0,0,2,6,0,1,0,0,0,1,3,0,0,0,0,22,4,0,0,1,1,1,0,1,2,4,23,0,110000,0,4800,4800,0,35670,0.51
3,4,2,2,2,0,1,0,6,4,1,1,7,0,1,1,3,4,3,0,0,7,3,3,3,2,4,8,2,1,1,0,1,0,0,1,6,6,0,0,0,0,0,2,2,0,0,5,0,7,3,1,0,1,0,0,1,1,3,2,39,0,62500,0,1620,1220,203,6427,0.44
5,3,5,2,1,1,1,1,6,2,0,0,10,1,1,1,4,3,12,0,2,3,2,2,3,2,4,8,1,1,0,0,1,0,0,0,0,5,1,0,0,0,0,1,2,0,0,10,1,7,4,1,0,0,0,1,0,1,3,1,85,0,17500,0,1782,1532,613,4431,0.5
