YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
8,1,5,2,2,0,1,1,1,3,0,1,10,1,0,1,4,3,3,0,0,0,0,2,3,2,1,2,1,2,0,0,1,0,0,1,2,4,0,1,4,1,0,3,3,1,0,16,0,4,4,0,0,1,1,1,1,1,2,2,18,0,57500,0,1175,925,925,10039,0.47
4,3,6,4,2,0,0,0,1,4,0,0,3,0,0,2,4,4,12,0,5,7,3,2,3,2,2,4,1,2,0,0,1,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,18,2,1,0,0,0,0,0,1,2,2,49,0,42500,0,2251,1325,442,10578,0.49
4,2,5,2,2,0,1,1,6,3,1,0,7,1,1,2,4,3,7,1,8,7,3,1,2,1,4,12,1,1,0,0,1,0,0,1,2,5,0,0,0,0,0,3,3,1,0,82,0,7,3,1,0,0,0,1,1,1,3,2,55,0,72500,0,1152,902,0,10391,0.67
4,3,6,3,2,0,0,0,3,2,1,1,18,0,1,2,4,4,7,1,0,16,3,3,2,2,4,2,5,10,5,2,1,0,0,1,2,3,0,0,3,3,0,1,1,0,0,5,0,7,2,1,0,0,0,0,0,1,3,4,29.75,0,32500,1,1428,1071,1071,6414,0.5
4,2,2,2,1,1,0,0,1,4,0,0,7,0,0,2,4,3,3,0,0,0,0,2,2,1,12,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,0,4,2,1,0,0,0,0,2,1,1,8,31.125,1,52500,1,1109,0,0,3518,0.38
5,3,3,2,2,0,0,1,3,4,0,1,5,1,1,1,4,4,2,0,0,7,2,2,1,1,4,8,1,5,0,0,1,0,0,1,6,5,0,0,5,1,1,0,0,0,0,8,0,7,2,1,0,1,0,1,1,1,5,1,58,0,130000,0,1272,1272,1272,3686,0.42
6,5,0,2,1,0,0,0,3,2,1,1,18,0,0,2,3,3,3,0,0,7,0,2,2,1,2,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,0,0,2.5,0,4,4,1,0,0,0,0,1,1,1,4,20.75,0,22500,1,792,792,158,3522,0.5
4,3,6,3,1,0,1,0,0,2,0,0,5,0,1,1,4,3,7,2,0,1,3,3,2,2,2,2,2,5,2,0,1,1,0,0,2,5,0,1,5,1,0,1,1,1,0,12,1,12,4,0,0,0,1,0,1,1,6,3,70,1,17500,1,2472,1040,1040,7298,0.57
4,4,1,4,3,0,1,1,0,2,0,1,7,1,0,1,5,3,3,0,0,7,2,4,2,2,4,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,52.5,0,12,3,1,0,0,0,1,1,1,2,6,22.16666667,0,47500,0,3884,0,0,6084,0.33
1,2,5,4,1,0,0,1,9,3,0,0,18,1,1,1,1,2,12,1,0,7,2,5,2,2,4,4,1,10,0,0,1,0,0,1,10,8,0,0,0,0,0,3,0,0,0,42.5,0,12,1,1,0,1,0,1,0,1,3,4,26,0,12500,1,2653,1843,590,8647,0.54
8,2,5,2,2,0,0,1,16,2,0,0,7,1,1,1,4,4,3,0,3,3,3,1,2,2,2,4,1,2,0,0,1,0,0,0,2,4,0,1,4,3,0,1,1,0,0,10.5,1,4,4,0,0,1,1,1,2,1,5,1,21,0,2000,1,964,964,964,8468,0.43
3,1,6,3,1,0,0,1,16,1,0,1,7,1,0,2,4,3,17,0,2,3,2,2,3,2,2,4,1,2,0,0,1,0,0,1,2,6,0,0,6,1,1,1,2,0,0,0,1,12,3,1,0,0,0,1,1,1,3,2,30,0,67500,0,1950,975,975,8093,0.66
1,0,5,3,2,0,1,0,0,1,0,1,1,0,0,1,1,2,7,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,2,1,0,0,2.5,0,7,4,1,0,0,0,0,0,2,3,1,82,1,12500,1,1200,800,0,9576,0.41
4,3,5,2,2,1,1,1,1,2,0,1,5,1,1,1,3,2,7,0,0,3,3,3,2,2,2,2,1,2,0,0,1,0,0,1,0,5,0,1,5,2,0,3,3,0,0,10,0,7,4,1,0,1,1,1,2,1,5,2,60.5,1,67500,0,2564,2164,2164,14043,0.44
4,3,2,3,2,0,0,0,28,1,0,0,18,0,0,2,4,3,7,0,0,3,2,3,1,1,4,2,1,2,0,0,1,0,1,1,2,7,0,0,7,1,0,1,0,0,0,13,1,18,4,1,0,1,0,0,1,4,3,5,32.6,0,47500,0,3168,2112,1056,10162,0.57
1,0,8,1,1,0,0,0,0,2,0,0,7,0,0,1,4,4,7,0,0,0,0,0,0,0,0,0,2,5,2,0,1,0,0,0,0,3,0,0,0,0,0,2,1,1,0,26.5,0,12,4,1,0,0,0,0,1,1,5,2,45.5,0,72500,0,592,592,0,2477,0.6
5,1,5,5,3,0,1,0,9,3,1,0,7,0,0,2,5,4,3,1,5,13,3,3,3,3,4,4,3,5,2,2,1,0,0,0,2,8,0,0,8,3,1,2,2,1,0,53,1,12,4,1,0,0,0,0,0,1,3,4,56.75,1,72500,0,3600,3200,1700,13857,0.56
1,2,5,6,3,1,1,0,16,2,0,0,10,0,0,2,5,4,7,0,0,1,3,3,3,3,12,12,1,8,0,0,1,0,0,0,2,9,0,0,9,3,0,2,1,0,0,0,0,22,4,1,0,0,0,0,0,1,2,2,79,1,8750,1,2280,1880,1880,7912,0.5
5,3,5,4,2,1,1,0,0,4,1,1,5,0,0,1,1,3,7,1,0,7,3,5,2,1,4,4,2,1,1,0,1,0,0,1,10,8,1,0,8,3,1,1,1,1,0,5,0,22,4,1,0,1,0,1,1,4,5,3,45,0,92500,0,3609,2100,2100,10629,0.6
4,5,0,2,2,0,0,1,28,1,0,1,18,1,0,1,4,3,3,0,2,1,1,1,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,2,4,0,0,0,1,1,1,1,6,1,62,1,27500,0,810,0,0,4809,0.42
3,1,5,2,1,1,0,1,6,1,0,0,5,1,0,1,1,4,7,0,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,1,0,0,31.5,0,7,3,0,0,1,1,1,1,1,1,2,42.5,0,32500,0,2223,2223,0,24229,0.42
1,5,0,1,1,0,0,1,0,4,0,0,10,1,0,1,4,3,7,0,0,0,0,1,2,2,4,4,0,0,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,1,0,10.5,0,7,3,1,0,1,0,1,0,1,2,1,65,1,37500,0,597,398,597,6046,0.41
4,1,0,2,1,0,0,1,6,3,1,0,7,1,1,1,4,3,7,0,5,0,0,2,2,2,4,2,2,10,10,0,1,0,0,0,2,4,0,0,4,2,0,0,0,0,0,13,1,2,2,1,0,0,0,1,1,1,5,2,23.5,0,32500,0,686,686,686,4633,0.54
1,4,5,3,1,0,0,0,6,1,0,0,18,0,1,1,4,3,3,0,0,3,2,1,2,1,8,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,22,4,1,0,0,0,0,2,1,4,7,44,1,27500,1,1258,0,0,1119,0.41
1,2,5,3,2,0,0,0,28,2,0,0,10,0,1,2,4,4,3,0,8,13,3,1,2,2,4,4,1,1,0,0,0,0,0,0,6,8,1,0,0,0,0,1,2,0,0,42,0,0,2,1,0,0,0,0,0,1,2,4,34.75,1,67500,0,3936,2952,1312,5983,0.51
6,1,0,2,1,0,0,1,6,1,0,1,3,1,0,1,1,3,3,0,0,0,0,2,3,1,2,2,0,0,0,0,0,0,0,0,2,5,0,0,5,2,0,0,0,1,0,22.5,0,18,4,1,0,0,0,1,2,1,4,2,14,0,17500,1,1017,1017,1017,3306,0.54
8,3,5,4,3,0,1,0,16,2,1,1,10,0,1,2,3,4,7,1,8,7,3,4,3,4,2,4,2,2,1,0,1,0,0,0,2,9,0,0,9,2,1,5,2,0,0,5,0,18,2,0,0,1,0,0,1,1,3,5,16.2,0,77500,0,2656,2256,2256,15320,0.5
4,1,5,3,1,1,0,0,6,2,0,0,7,0,0,2,4,3,17,1,3,7,2,5,3,2,4,8,2,2,1,0,1,0,0,1,0,5,0,0,5,2,0,0,0,1,0,13,0,12,3,1,0,0,0,0,0,1,5,3,23.66666667,0,8750,1,1800,1800,1800,10143,0.68
4,3,0,0,1,0,0,0,0,1,0,0,3,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,0,0,0,0,1,0,3,1,26,0,62500,0,235,0,0,1542,0.43
1,1,0,0,1,0,0,0,1,4,1,0,5,0,1,1,4,4,3,0,0,0,0,1,2,1,2,1,2,5,1,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,21,0,4,4,1,0,0,0,0,1,1,5,1,52,0,130000,0,570,570,570,1807,0.51
8,4,1,3,2,1,1,1,6,0,0,0,5,1,1,1,3,4,3,0,2,7,3,2,3,2,4,4,1,8,0,0,1,0,0,0,0,6,0,1,6,3,0,3,3,0,0,2.5,0,12,4,0,0,1,1,1,1,1,4,2,26.5,0,77500,0,2688,2288,2288,13165,0.47
3,1,5,3,1,1,0,1,9,2,1,0,5,1,1,1,3,4,3,0,0,3,3,3,2,1,12,12,2,1,1,0,1,0,0,0,2,7,0,0,7,3,0,3,3,0,0,18.5,0,12,3,0,0,1,0,1,1,1,2,1,55,0,47500,0,1521,1521,1521,8451,0.47
1,3,6,2,1,0,0,1,0,2,0,1,5,1,1,1,1,3,17,0,0,3,3,1,2,1,4,4,0,0,0,0,0,1,0,1,2,5,0,1,0,0,0,0,0,1,0,0,0,18,3,0,0,0,1,1,1,1,3,1,64,0,17500,0,1392,912,0,6388,0.57
